footprint,nstories,buildingheight,eraBuilt,garageExists
"POLYGON ((37.3527491 37.037069, 37.352764 37.0370913, 37.3527694 37.037089, 37.3528159 37.0370701, 37.3528247 37.0370664, 37.3528118 37.037047, 37.3528092 37.0370434, 37.3527944 37.0370497, 37.3527858 37.0370534, 37.3527491 37.037069))",3,72.4,Pre-1970,False
"POLYGON ((37.2834929 37.186474, 37.2834985 37.1864966, 37.283545 37.1864892, 37.2835675 37.1865797, 37.2834205 37.186603, 37.2833922 37.1864899, 37.2834929 37.186474))",2,46.8,Pre-1970,False
"POLYGON ((36.5759948 36.8976011, 36.5759184 36.8976094, 36.5759144 36.8975853, 36.5759907 36.8975771, 36.5759948 36.8976011))",,,N/A,
"POLYGON ((37.6658326 37.5074415, 37.6658312 37.5074117, 37.6659088 37.5074093, 37.6659138 37.5075091, 37.6657504 37.5075142, 37.6657469 37.5074441, 37.6658326 37.5074415))",,,N/A,
"POLYGON ((37.6181082 37.470208, 37.6181639 37.4702188, 37.6181493 37.4702662, 37.6180936 37.4702555, 37.6181082 37.470208))",,,N/A,
"POLYGON ((37.3651493 37.0893805, 37.3652718 37.0893165, 37.3652285 37.0892638, 37.3651912 37.0892833, 37.3651586 37.0892435, 37.3650733 37.0892881, 37.3651493 37.0893805))",2,33.2,Pre-1970,False
"POLYGON ((37.3538536 37.0975696, 37.353947 37.0975223, 37.3536627 37.097165, 37.3535693 37.0972123, 37.3538536 37.0975696))",,,N/A,
"POLYGON ((36.621143 37.0714297, 36.6210056 37.0714724, 36.620962 37.0713833, 36.6210994 37.0713405, 36.621143 37.0714297))",,,N/A,
"POLYGON ((37.7920618 36.8322323, 37.7921029 36.8321195, 37.7922228 36.8321475, 37.7921817 36.8322603, 37.7920618 36.8322323))",,,N/A,
"POLYGON ((37.3074432 36.8291755, 37.3074625 36.8292696, 37.3073606 36.829283, 37.3073413 36.8291889, 37.3074432 36.8291755))",,,N/A,
"POLYGON ((37.4845028 36.883069, 37.4844752 36.8830733, 37.4844508 36.8830845, 37.4844322 36.8831014, 37.4844214 36.8831222, 37.4844195 36.8831447, 37.4844269 36.8831664, 37.4844425 36.8831851, 37.4844653 36.8831989, 37.4844924 36.883206, 37.484521 36.8832056, 37.4845478 36.8831978, 37.48457 36.8831834, 37.484585 36.883164, 37.4845913 36.8831417, 37.4845882 36.883119, 37.4845759 36.8830984, 37.4845559 36.8830821, 37.4845307 36.883072, 37.4845028 36.883069))",,,N/A,
"POLYGON ((37.4152386 37.0508006, 37.4152981 37.0507845, 37.4152444 37.0506582, 37.415185 37.0506743, 37.4152386 37.0508006))",3,71.1,Pre-1970,True
"POLYGON ((37.2808673 37.0180625, 37.2808208 37.0180796, 37.2807882 37.018023, 37.2808347 37.0180059, 37.2808673 37.0180625))",,,N/A,
"POLYGON ((37.3647863 37.0448485, 37.3649123 37.0448426, 37.3649181 37.044906, 37.3649182 37.0449312, 37.3649309 37.0450551, 37.3648069 37.0450669, 37.3647863 37.0448485))",2,48.9,Pre-1970,True
"POLYGON ((37.3828623 37.1003758, 37.3829332 37.1004555, 37.3830146 37.1004095, 37.3829438 37.1003298, 37.3828623 37.1003758))",2,33.2,Pre-1970,True
"POLYGON ((37.3572632 37.0486232, 37.357262 37.0486895, 37.3571923 37.0486888, 37.3571935 37.0486224, 37.3572632 37.0486232))",3,50.7,Pre-1970,False
"POLYGON ((37.6187492 37.4672026, 37.618839 37.4672115, 37.6188225 37.4673171, 37.6187327 37.4673083, 37.6187492 37.4672026))",,,N/A,
"POLYGON ((37.8294061 37.3202819, 37.8293861 37.3201609, 37.8294921 37.3201498, 37.829512 37.3202709, 37.8294061 37.3202819))",,,N/A,
"POLYGON ((37.2815672 37.1262173, 37.2817923 37.1263218, 37.2816856 37.1264679, 37.2814605 37.1263634, 37.2815672 37.1262173))",,,N/A,
"POLYGON ((37.1258721 37.1223358, 37.12584 37.1223539, 37.1258558 37.1223718, 37.125888 37.1223538, 37.1258721 37.1223358))",,,N/A,
"POLYGON ((36.7862765 36.9954549, 36.7862994 36.9953939, 36.7863781 36.9954128, 36.7863553 36.9954737, 36.7862765 36.9954549))",,,N/A,
"POLYGON ((37.3788654 37.1034294, 37.3789572 37.1033698, 37.3789163 37.1033297, 37.3788768 37.1033554, 37.3788245 37.1033041, 37.3787722 37.1033381, 37.3788654 37.1034294))",2,42.1,Pre-1970,True
"POLYGON ((36.8639383 37.0557602, 36.8640606 37.055763, 36.8640563 37.0558838, 36.863934 37.055881, 36.8639383 37.0557602))",,,N/A,
"POLYGON ((36.5818085 36.9375639, 36.5818247 36.9376726, 36.5816831 36.9376861, 36.5816661 36.9375719, 36.5817522 36.9375637, 36.581753 36.9375692, 36.5818085 36.9375639))",,,N/A,
"POLYGON ((36.5911134 36.8965366, 36.5911859 36.8965748, 36.5912658 36.8964776, 36.5911933 36.8964395, 36.5911134 36.8965366))",,,N/A,
"POLYGON ((36.9347085 37.1854511, 36.9347444 37.1854301, 36.9347808 37.1854695, 36.9347448 37.1854905, 36.9347085 37.1854511))",1,21.0,Pre-1970,False
"POLYGON ((37.3429712 37.0405102, 37.3430511 37.040629, 37.3431284 37.0405959, 37.3430485 37.0404771, 37.3429712 37.0405102))",3,55.0,Pre-1970,True
"POLYGON ((37.4179784 36.9513019, 37.4179896 36.9512837, 37.4179485 36.9512676, 37.4179909 36.9511988, 37.4178623 36.9511483, 37.417812 36.9512301, 37.4178033 36.9512442, 37.4178175 36.9512498, 37.4177951 36.9512863, 37.4178923 36.9513245, 37.4179203 36.9512791, 37.4179784 36.9513019))",2,48.6,Pre-1970,False
"POLYGON ((37.2837339 37.1507898, 37.2840127 37.1509419, 37.2842715 37.1506404, 37.2839928 37.1504884, 37.2837339 37.1507898))",3,81.0,Pre-1970,True
"POLYGON ((37.4025915 37.0407237, 37.4025911 37.0407879, 37.4026967 37.0407883, 37.4026971 37.0407241, 37.4025915 37.0407237))",3,65.9,Pre-1970,False
"POLYGON ((37.4974552 37.1243296, 37.4975891 37.1243258, 37.4975929 37.1244104, 37.4974589 37.1244142, 37.4974552 37.1243296))",,,N/A,
"POLYGON ((37.9890195 36.9472895, 37.9891053 36.9472777, 37.9890951 36.9472302, 37.9890092 36.947242, 37.9890195 36.9472895))",,,N/A,
"POLYGON ((37.8514885 36.7788752, 37.8514892 36.7788112, 37.8516166 36.7788121, 37.8516159 36.7788761, 37.8514885 36.7788752))",,,N/A,
"POLYGON ((36.8307197 37.1023269, 36.8306555 37.1023218, 36.8306677 37.1022251, 36.8307319 37.1022302, 36.8307197 37.1023269))",,,N/A,
"POLYGON ((36.6413006 37.0375265, 36.6411917 37.0375286, 36.6411873 37.0373779, 36.6412962 37.0373759, 36.6413006 37.0375265))",2,34.1,Pre-1970,True
"POLYGON ((37.5035047 36.8908506, 37.5036437 36.89087, 37.5036658 36.8907691, 37.5035267 36.8907497, 37.5035047 36.8908506))",,,N/A,
"POLYGON ((37.5936936 37.3334554, 37.5938482 37.3334901, 37.5938248 37.3335561, 37.5936702 37.3335214, 37.5936936 37.3334554))",,,N/A,
"POLYGON ((37.4024261 37.0683191, 37.4024266 37.0683662, 37.4024574 37.068366, 37.4024569 37.0683189, 37.4024261 37.0683191))",2,30.2,Pre-1970,False
"POLYGON ((37.3912181 37.0511177, 37.3912999 37.0511323, 37.3913086 37.0511011, 37.3912268 37.0510865, 37.3912181 37.0511177))",1,30.3,Pre-1970,True
